product_name,link,product_images,price,details,category,gender
LONG GEOMETRIC PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/long-geometric-print-swimming-trunks-p08574375.html,https://static.zara.net/photos///2023/I/0/2/p/8574/375/400/2/w/448/8574375400_1_1_1.jpg?ts=1689157208773,36.26,Swimming trunks made of a velvety-finish technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a rear patch pocket. Lining. Length of inner leg seam: 17 cm. / 6.6″Length of outer leg seam: 41 cm. / 16.1″View more,SWIMWEAR,men
PAISLEY PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/paisley-print-swimming-trunks-p08574386.html,https://static.zara.net/photos///2023/I/0/2/p/8574/386/400/2/w/448/8574386400_1_1_1.jpg?ts=1689157211794,36.26,Swimming trunks made of a velvety-finish technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a rear patch pocket. Lining. Length of inner leg seam: 13 cm. / 5.1″Length of outer leg seam: 37 cm. / 14.5″View more,SWIMWEAR,men
EYELASH CURLER,https://www.zara.com/in/en/eyelash-curler-p24550511.html,https://static.zara.net/photos///2022/I/2/1/p/4550/511/800/2/w/448/4550511800_6_1_1.jpg?ts=1659955085289,12.46,Allows the eyelashes to be curled and raised in a single movement. Get a more intense finish by applying mascara. Includes two replacement pads.,BEAUTY,men
FACE BRUSH #3,https://www.zara.com/in/en/face-brush--3-p24140503.html,https://static.zara.net/photos///2022/I/2/1/p/4140/503/250/2/w/448/4140503250_6_1_1.jpg?ts=1661418123738,13.3,"Small face brush for the application of powder, cream or liquids in more localised areas. Rounded and precise shape. Ideal for applying highlighter or as a blending brush.",BEAUTY,men
KABUKI BRUSH,https://www.zara.com/in/en/kabuki-brush-p24140509.html,https://static.zara.net/photos///2022/V/2/1/p/4140/509/250/2/w/448/4140509250_6_1_1.jpg?ts=1647362350884,18.06,"Short and smooth dense-bristle brush, ideal for applying foundation and providing optimum coverage immediately.",BEAUTY,men
EYE BRUSH #2,https://www.zara.com/in/en/eye-brush--2-p24140505.html,https://static.zara.net/photos///2022/I/2/1/p/4140/505/250/2/w/448/4140505250_6_1_1.jpg?ts=1661418125427,8.26,Compact and flat eye brush specially designed to apply eye shadow evenly.,BEAUTY,men
EYE BRUSH #1,https://www.zara.com/in/en/eye-brush--1-p24140504.html,https://static.zara.net/photos///2022/I/2/1/p/4140/504/250/2/w/448/4140504250_6_1_1.jpg?ts=1661418125014,8.26,"Small eye brush designed to blend or apply eye shadow in a precise way, achieving an intense finish and high pigment.",BEAUTY,men
MAKEUP SPONGE,https://www.zara.com/in/en/makeup-sponge-p24140500.html,https://static.zara.net/photos///2023/V/2/1/p/4140/500/357/2/w/448/4140500357_6_1_1.jpg?ts=1686222829398,6.86,"Makeup sponge specially designed for liquid and cream formulas. Allows for a simple, precise and adjustable application, achieving a natural finish. INSTRUCTIONS FOR USE:1. Moisten sponge with water2. Drain excess water3. Use the rounded part to apply liquid or cream formulas, blotting onto the skin.4. Use the flat part and tip for a more precise application5. After use, wash sponge with soap and water, drain to remove excess water and air dryView more",BEAUTY,men
SWEATSHIRT WITH ZIP COLLAR,https://www.zara.com/in/en/sweatshirt-with-zip-collar-p06462330.html,https://static.zara.net/photos///2023/I/0/2/p/6462/330/251/2/w/448/6462330251_1_1_1.jpg?ts=1689932178850,41.86,"Sweatshirt featuring a high neck with front zip fastening, long sleeves and ribbed trims.",HOODIES_SWEATSHIRTS,men
REFLECTIVE EFFECT JACKET,https://www.zara.com/in/en/reflective-effect-jacket-p01732314.html,https://static.zara.net/photos///2023/I/0/2/p/1732/314/446/3/w/448/1732314446_1_1_1.jpg?ts=1693233018145,106.26,Jacket made of a very lightweight and reflective technical fabric.- High neck with stow-away hood on the inside.- Long sleeves with elastic cuffs.- Thermo-sealed inner seams.- Pocket with autolock zip fastening on the chest and hip pockets.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.View more,HOODIES_SWEATSHIRTS,men
COTTON HOODIE,https://www.zara.com/in/en/cotton-hoodie-p00761331.html,https://static.zara.net/photos///2023/I/0/2/p/0761/331/712/3/w/448/0761331712_1_1_1.jpg?ts=1693233015377,55.86,Hoodie made of compact cotton fabric. Adjustable hood and long sleeves. Front pouch pocket. Ribbed trims.Zara Athleticz.,HOODIES_SWEATSHIRTS,men
